,lat,city,temp_max,humidity,wind,cloudiness,Date,country
0,39.42,chara,66.2,68.0,0.92,20.0,1567474188.0,GR
1,44.14,shetpe,62.9,57.0,1.97,60.0,1567474194.0,KZ
2,,amderma,,,,,,
3,-33.86,esperance,55.4,82.0,14.99,5.0,1567474055.0,AU
4,-53.16,punta arenas,39.2,69.0,18.34,0.0,1567474209.0,CL
5,59.7,nikolskoye,63.0,82.0,8.95,90.0,1567473982.0,RU
6,-20.34,bambous virieux,70.0,82.0,5.82,75.0,1567474220.0,MU
7,53.23,lincoln,60.01,87.0,8.05,0.0,1567474209.0,GB
8,45.76,mandalgovi,75.23,31.0,15.68,0.0,1567474230.0,MN
9,-42.78,new norfolk,62.01,44.0,9.17,75.0,1567474235.0,AU
10,69.44,tuktoyaktuk,48.2,57.0,17.22,20.0,1567473983.0,CA
11,-33.21,jamestown,58.94,75.0,10.07,4.0,1567473989.0,AU
12,39.31,port elizabeth,78.01,94.0,2.1,40.0,1567474251.0,US
13,-23.58,bluff,77.3,17.0,5.03,0.0,1567473994.0,AU
14,42.65,albany,68.0,77.0,11.41,20.0,1567473957.0,US
15,-33.93,cape town,54.0,93.0,4.7,0.0,1567473969.0,ZA
16,-34.42,hermanus,53.01,93.0,1.99,0.0,1567473981.0,ZA
17,-5.39,lubao,72.71,80.0,2.68,0.0,1567474276.0,CD
18,-42.88,hobart,62.01,44.0,13.87,75.0,1567473849.0,AU
19,21.78,contai,87.83,69.0,7.85,99.0,1567474287.0,IN
20,64.42,provideniya,51.8,81.0,13.42,90.0,1567473991.0,RU
21,55.74,thompson,55.4,54.0,4.7,90.0,1567473692.0,CA
22,,taolanaro,,,,,,
23,15.34,vaini,69.8,94.0,9.17,75.0,1567473985.0,IN
24,-34.53,bredasdorp,42.8,93.0,1.12,0.0,1567474007.0,ZA
25,65.61,tasiilaq,41.0,59.0,8.05,77.0,1567473991.0,GL
26,62.45,yellowknife,50.0,71.0,2.24,90.0,1567474017.0,CA
27,-20.07,charters towers,81.89,16.0,14.43,18.0,1567474328.0,AU
28,42.87,le port,55.99,68.0,4.76,4.0,1567474333.0,FR
29,35.09,moroni,80.01,69.0,9.17,20.0,1567474338.0,GR
30,-28.95,codrington,70.0,49.0,2.24,0.0,1567474056.0,AU
31,11.67,port blair,82.43,82.0,21.54,100.0,1567474349.0,IN
32,67.67,sorland,52.46,79.0,27.16,18.0,1567474035.0,NO
33,,illoqqortoormiut,,,,,,
34,71.97,saskylakh,37.88,69.0,11.68,26.0,1567473995.0,RU
35,22.08,kapaa,87.8,58.0,13.87,1.0,1567473989.0,US
36,-26.65,luderitz,57.2,50.0,1.12,9.0,1567474105.0,NA
37,,araguatins,,,,,,
38,39.81,sorgun,54.71,72.0,3.15,0.0,1567474385.0,TR
39,26.54,marsh harbour,84.32,77.0,61.99,100.0,1567474136.0,BS
40,67.55,komsomolskiy,39.5,89.0,3.83,100.0,1567474080.0,RU
41,-33.59,port alfred,55.99,88.0,5.01,0.0,1567474400.0,ZA
42,-23.12,rikitea,72.98,85.0,13.94,100.0,1567473784.0,PF
43,44.37,pierre,77.0,83.0,8.05,1.0,1567474333.0,US
44,37.04,liberal,86.0,37.0,12.75,1.0,1567474415.0,US
45,,bengkulu,,,,,,
46,5.35,hobyo,76.04,76.0,22.12,48.0,1567474082.0,SO
47,-46.28,kaitangata,55.0,61.0,8.01,18.0,1567473986.0,NZ
48,13.13,puro,83.15,74.0,10.25,64.0,1567474436.0,PH
49,-9.8,atuona,79.46,68.0,14.03,13.0,1567474018.0,PF
50,-5.36,pringsewu,80.45,65.0,4.47,100.0,1567474447.0,ID
51,-20.21,quatre cocos,70.0,82.0,5.82,75.0,1567474200.0,MU
52,71.03,mehamn,51.02,94.0,5.1,100.0,1567474138.0,NO
53,58.35,uddevalla,57.99,87.0,9.17,49.0,1567474085.0,SE
54,-19.17,soavinandriana,55.79,90.0,4.76,44.0,1567474467.0,MG
55,2.67,kudahuvadhoo,83.15,72.0,8.41,100.0,1567474472.0,MV
56,37.17,sitka,84.0,56.0,11.01,0.0,1567473997.0,US
57,33.93,katsuura,84.2,70.0,3.36,75.0,1567474064.0,JP
58,40.6,fortuna,80.01,77.0,13.87,1.0,1567474065.0,US
59,68.75,cherskiy,48.14,43.0,5.41,9.0,1567474020.0,RU
60,39.45,saint george,66.2,68.0,0.58,20.0,1567474498.0,GR
61,49.72,geraldton,50.0,53.0,4.7,75.0,1567474007.0,CA
62,60.79,bethel,60.8,82.0,24.16,75.0,1567473891.0,US
63,,gambita,,,,,,
64,29.28,jumla,63.17,76.0,2.68,12.0,1567474519.0,NP
65,-34.91,maldonado,48.2,61.0,13.87,75.0,1567474524.0,UY
66,-17.52,innisfail,73.0,32.0,8.99,0.0,1567474529.0,AU
67,-0.74,puerto ayora,73.4,78.0,14.99,20.0,1567474408.0,EC
68,3.07,butaritari,83.24,72.0,12.37,96.0,1567474042.0,KI
69,44.96,ordzhonikidze,63.71,48.0,2.42,0.0,1567474545.0,UA
70,-8.65,denpasar,78.8,83.0,11.41,20.0,1567474496.0,ID
71,8.96,lebu,59.0,82.0,4.7,75.0,1567474068.0,ET
72,40.39,lehi,91.99,20.0,6.93,1.0,1567474380.0,US
73,-39.94,waipawa,55.99,70.0,4.0,99.0,1567474565.0,NZ
74,,tsihombe,,,,,,
75,14.73,ayorou,87.29,47.0,11.27,0.0,1567474576.0,NE
76,21.35,makakilo city,91.4,49.0,12.75,20.0,1567474581.0,US
77,-33.12,fray bentos,52.0,59.0,32.01,58.0,1567474586.0,AR
78,69.3,deputatskiy,49.4,56.0,4.16,4.0,1567474032.0,RU
79,65.58,lavrentiya,44.9,97.0,12.64,100.0,1567474004.0,RU
80,-54.81,ushuaia,33.8,93.0,29.97,75.0,1567474588.0,AR
